id,title,yr,score,votes,director
2097214,Forsaking All Others,1934,6.0,613,"Van Dyke, W.S."
2286292,Liliom,1934,7.1,611,"Lang, Fritz"
2762338,You're Telling Me!,1934,7.7,607,"Kenton, Erle C."
2655361,The Star Packer,1934,5.4,607,"Bradbury, Robert N."
2608269,The Girl from Missouri,1934,6.7,599,"Conway, Jack"
2636404,The Old Fashioned Way,1934,7.6,596,"Beaudine, William"
2610171,The Grasshopper and the Ants,1934,7.5,579,"Jackson, Wilfred"
2628619,The Man from Utah,1934,5.1,572,"Bradbury, Robert N."
2455476,Randy Rides Alone,1934,5.5,561,"Fraser, Harry L."
2732476,Waltzes from Vienna,1934,6.2,553,"Hitchcock, Alfred"
1932833,Broadway Bill,1934,6.7,537,"Capra, Frank"
1870951,Anne of Green Gables,1934,7.0,532,"Nichols Jr., George"
2588595,The Captain Hates the Sea,1934,7.7,522,"Milestone, Lewis"
2751948,Woman Haters,1934,6.9,518,"Gottler, Archie"
1955104,Chapaev,1934,7.3,515,"Vasilyev, Georgi"
1809872,'Neath the Arizona Skies,1934,5.2,515,"Fraser, Harry L."
2622514,The Lawless Frontier,1934,5.1,512,"Bradbury, Robert N."
2674507,Three Little Pigskins,1934,7.3,495,"McCarey, Ray"
2163567,Housewife,1934,6.8,483,"Green, Alfred E."
2736524,We're Not Dressing,1934,6.3,480,"Taurog, Norman"
2615106,The House of Rothschild,1934,6.9,476,"Werker, Alfred L."
2331817,Midnight,1934,5.7,474,"Erskine, Chester"
2738895,West of the Divide,1934,5.4,473,"Bradbury, Robert N."
1953584,Chained,1934,5.8,469,"Brown, Clarence"
2157230,Hollywood Party,1934,6.3,464,"Wood, Sam"
2660700,The Trail Beyond,1934,5.4,443,"Bradbury, Robert N."
2582949,The Big Bad Wolf,1934,7.1,438,"Gillett, Burt"
1889835,Baby Take a Bow,1934,6.5,437,"Lachman, Harry"
2536717,Spitfire,1934,5.5,429,"Cromwell, John"
2148443,Here Comes the Navy,1934,6.5,425,"Bacon, Lloyd"
2721742,Vesyolye rebyata,1934,7.3,421,"Aleksandrov, Grigori"
2633675,The Mysterious Mr. Wong,1934,4.8,421,"Nigh, William"
2624427,The Little Minister,1934,6.4,416,"Wallace, Richard"
2519750,Six of a Kind,1934,6.9,402,"McCarey, Leo"
2752634,Wonder Bar,1934,7.0,395,"Bacon, Lloyd"
2672397,Thirty Day Princess,1934,6.9,388,"Gering, Marion"
2583420,The Big Shakedown,1934,6.9,387,"Dillon, John Francis"
2605378,The Flying Mouse,1934,6.8,384,"Hand, David"
2256810,La signora di tutti,1934,7.5,371,"Ophüls, Max"
2351120,Murder at the Vanities,1934,6.6,359,"Leisen, Mitchell"
2691994,Tri pesni o Lenine,1934,6.9,357,"Vertov, Dziga"
2321398,Mauvaise graine,1934,6.3,349,"Esway, Alexander"
1955699,Charlie Chan's Courage,1934,8.2,340,"Hadden, George"
2150983,Hide-Out,1934,7.1,339,"Van Dyke, W.S."
2351315,Murder on the Blackboard,1934,6.8,338,"Archainbaud, George"
2575266,The 39 Steps,1935,7.9,32712,"Hitchcock, Alfred"
1931636,Bride of Frankenstein,1935,7.9,25218,"Whale, James"
1832409,A Night at the Opera,1935,8.1,20755,"Wood, Sam"
2352643,Mutiny on the Bounty,1935,7.9,12724,"Lloyd, Frank"
2685079,Top Hat,1935,7.9,10598,"Sandrich, Mark"
2693236,Triumph des Willens,1935,7.6,8544,"Riefenstahl, Leni"
1946276,Captain Blood,1935,7.8,8043,"Curtiz, Michael"
2616669,The Informer,1935,7.6,3442,"Ford, John"
1837058,A Tale of Two Cities,1935,7.9,3312,"Leonard, Robert Z."
1870662,Anna Karenina,1935,7.1,3133,"Brown, Clarence"
2738686,Werewolf of London,1935,6.4,2694,"Walker, Stuart"
2317392,Mark of the Vampire,1935,6.3,2499,"Browning, Tod"
2644626,The Raven,1935,7.1,2431,"Landers, Lew"
2305909,Mad Love,1935,7.4,2405,"Freund, Karl"
2639788,"The Personal History, Adventures, Experience, & Observation of David Copperfield the Younger",1935,7.7,2264,"Cukor, George"
1854168,Alice Adams,1935,7.1,2179,"Stevens, George"
2559039,Sylvia Scarlett,1935,6.3,2157,"Cukor, George"
2278789,Les Misérables,1935,7.7,2124,"Boleslawski, Richard"
1809680,'G' Men,1935,7.2,2076,"Keighley, William"
2478530,Ruggles of Red Gap,1935,7.9,1952,"McCarey, Leo"
1831267,A Midsummer Night's Dream,1935,7.1,1821,"Dieterle, William"
2471798,Roberta,1935,7.2,1723,"Seiter, William A."
2122794,Gold Diggers of 1935,1935,7.7,1574,"Berkeley, Busby"
2597162,The Devil Is a Woman,1935,7.2,1556,"von Sternberg, Josef"
2624690,The Lives of a Bengal Lancer,1935,7.5,1482,"Hathaway, Henry"
1992963,Dangerous,1935,7.3,1441,"Green, Alfred E."
2580691,The Band Concert,1935,7.9,1424,"Jackson, Wilfred"
1960481,China Seas,1935,7.0,1230,"Garnett, Tay"
1955685,Charlie Chan in Egypt,1935,7.3,1177,"King, Louis"
2667121,The Whole Town's Talking,1935,7.4,1129,"Ford, John"
2679620,Tit for Tat,1935,7.8,1119,"Rogers, Charley"
1925712,Bonnie Scotland,1935,6.8,1084,"Horne, James W."
1955689,Charlie Chan in Paris,1935,7.7,980,"Seiler, Lewis"
2420661,Peter Ibbetson,1935,7.2,952,"Hathaway, Henry"
2584267,The Black Room,1935,7.0,902,"Neill, Roy William"
1871093,Annie Oakley,1935,6.8,900,"Stevens, George"
2136957,Hands Across the Table,1935,7.2,897,"Leisen, Mitchell"
1896130,Barbary Coast,1935,6.9,887,"Wyler, William"
2660349,The Tortoise and the Hare,1935,7.4,885,"Jackson, Wilfred"
2588256,The Call of the Wild,1935,7.0,867,"Wellman, William A."
1955692,Charlie Chan in Shanghai,1935,7.6,867,"Tinling, James"
2406125,Page Miss Glory,1935,8.2,846,"LeRoy, Mervyn"
2507899,She,1935,6.6,829,"Holden, Lansing C."
1987440,Curly Top,1935,6.8,823,"Cummings, Irving"
1926807,Bordertown,1935,7.2,800,"Mayo, Archie"
2495304,Scrooge,1935,6.5,783,"Edwards, Henry"
1932870,Broadway Melody of 1936,1935,7.0,779,"Del Ruth, Roy"
1982918,Crime and Punishment,1935,7.0,778,"von Sternberg, Josef"
2607730,The Ghost Goes West,1935,6.9,769,"Clair, René"
2684072,Toni,1935,7.4,725,"Renoir, Jean"
2312752,Man on the Flying Trapeze,1935,7.8,723,"Bruckman, Clyde"
2624249,The Little Colonel,1935,7.1,709,"Butler, David"
2624658,The Littlest Rebel,1935,6.9,705,"Butler, David"
2609577,The Good Fairy,1935,7.7,705,"Wyler, William"
2103559,Front Page Woman,1935,7.1,691,"Curtiz, Michael"
2251023,La kermesse héroïque,1935,7.6,678,"Feyder, Jacques"
2363917,Naughty Marietta,1935,7.1,658,"Leonard, Robert Z."
2671792,Thicker Than Water,1935,7.3,648,"Horne, James W."
2595571,The Dawn Rider,1935,5.2,624,"Bradbury, Robert N."
2604907,The Fixer Uppers,1935,7.1,621,"Rogers, Charley"
2594232,The Crusades,1935,6.8,605,"DeMille, Cecil B."
2621025,The Last Days of Pompeii,1935,6.5,599,"Cooper, Merian C."
2176841,If You Could Only Cook,1935,7.0,584,"Seiter, William A."
2540659,Star of Midnight,1935,6.9,583,"Roberts, Stephen"
2608233,The Girl from 10th Avenue,1935,7.2,572,"Green, Alfred E."
2590903,The Clairvoyant,1935,6.7,566,"Elvey, Maurice"
2351994,Music Land,1935,7.7,538,"Jackson, Wilfred"
2596890,The Desert Trail,1935,5.4,536,"Collins, Lewis D."
2542571,Steamboat Round the Bend,1935,7.3,526,"Ford, John"
2459042,Reckless,1935,6.6,503,"Fleming, Victor"
1901721,Becky Sharp,1935,6.1,502,"Mamoulian, Rouben"
2573086,Texas Terror,1935,5.1,488,"Bradbury, Robert N."
2633349,The Murder Man,1935,6.9,487,"Whelan, Tim"
2156103,Hoi Polloi,1935,7.7,485,"Lord, Del"
2492351,Schastye,1935,7.6,482,"Medvedkin, Aleksandr"
2392129,On Ice,1935,7.5,479,"Sharpsteen, Ben"
2308151,Magnificent Obsession,1935,7.1,472,"Stahl, John M."
2700817,Tôkyô no yado,1935,7.7,462,"Ozu, Yasujirô"
1994044,Dante's Inferno,1935,6.8,441,"Lachman, Harry"
1849348,"Ah, Wilderness!",1935,7.0,435,"Brown, Clarence"
2331474,Mickey's Fire Brigade,1935,7.3,433,"Sharpsteen, Ben"
2410215,Paradise Canyon,1935,5.3,430,"Pierson, Carl"
1916888,Black Fury,1935,6.7,427,"Curtiz, Michael"
2588983,The Case of the Curious Bride,1935,6.7,425,"Curtiz, Michael"
2666394,The Wedding Night,1935,6.8,423,"Vidor, King"
2674492,Three Little Beers,1935,7.6,420,"Lord, Del"
2595180,The Dark Angel,1935,6.9,417,"Franklin, Sidney"
2534894,Special Agent,1935,7.1,401,"Keighley, William"
2432564,Pop Goes the Easel,1935,7.4,396,"Lord, Del"
2244845,La bandera,1935,7.2,388,"Duvivier, Julien"
2633845,The Mystery of the Marie Celeste,1935,5.7,385,"Clift, Denison"
2674678,Three Orphan Kittens,1935,7.1,385,"Hand, David"
2374650,No More Ladies,1935,5.6,383,"Cukor, George"
2429375,Pluto's Judgement Day,1935,7.1,383,"Hand, David"
1823859,A Colour Box,1935,6.6,376,"Lye, Len"
2351303,Murder on a Honeymoon,1935,6.7,370,"Corrigan, Lloyd"
1854097,Alibi Ike,1935,6.2,364,"Enright, Ray"
2561553,Tag der Freiheit - Unsere Wehrmacht,1935,6.3,364,"Riefenstahl, Leni"
2745332,Who Killed Cock Robin?,1935,7.1,363,"Hand, David"
2351151,Murder by Television,1935,4.3,361,"Sanforth, Clifford"
2339727,Modern Times,1936,8.6,87205,"Chaplin, Charles"
2355170,My Man Godfrey,1936,8.2,12960,"La Cava, Gregory"
2347982,Mr. Deeds Goes to Town,1936,8.0,12232,"Capra, Frank"
2482229,Sabotage,1936,7.2,8746,"Hitchcock, Alfred"
2639850,The Petrified Forest,1936,7.7,7664,"Mayo, Archie"
2558478,Swing Time,1936,7.8,7077,"Stevens, George"
2106352,Fury,1936,7.9,6750,"Lang, Fritz"
1847837,After the Thin Man,1936,7.7,5712,"Van Dyke, W.S."
