id,name
43287,"Anatrelli, Giuseppe"
41053,"Amighetti, Samuele"
42480,"Amstutz, Roland"
43383,"Anbery, Bryan"
43751,"Anders, Glenn"
40783,"Ames, Robert"
42460,"Amsterdam, Morey"
43844,"Andersen, Asbjørn"
43790,"Anders, Richard"
41020,Amidou
40767,"Ames, Leon"
42132,"Amos, John"
43384,"Anbery, Thomas"
42281,"Amplas, John"
41598,"Ammiano, Tom"
40780,"Ames, Percy"
42939,"Anand, Dev"
44912,"Anderson, Dave"
44671,"Anderson, Carl"
46660,"Anderson, Scott G."
45362,"Anderson, Herbert"
45461,"Anderson, James"
45630,"Anderson, Joe"
44547,"Anderson, Blake"
44308,"Anderson III, Haskell V."
46390,"Anderson, Philip"
45540,"Anderson, Jeff"
45205,"Anderson, Floyd"
45652,"Anderson, John"
44438,"Anderson, Anthony"
45164,"Anderson, Erich"
45456,"Anderson, James"
45857,"Anderson, Kevin"
46495,"Anderson, Robert"
46580,"Anderson, Russ"
45098,"Anderson, Eddie 'Rochester'"
44317,"Anderson Jr., Bill"
44325,"Anderson Jr., Michael"
45281,"Anderson, Gilbert M. 'Broncho Billy'"
48828,"Andrews, Barry"
48993,"Andrews, Edward"
46958,"Anderson, Warner"
49057,"Andrews, Harry"
48938,"Andrews, Dana"
48821,"Andrews, Anthony"
48793,"Andrews, A. Russell"
49091,"Andrews, Jason"
48953,"Andrews, David"
49271,"Andrews, Naveen"
47072,"Andersson, Benny"
47313,"Andersson, Peter"
48101,"Andreas, Dimitri"
47433,"Andes, Keith"
49395,"Andrews, Shawn"
49046,"Andrews, Giuseppe"
50090,"André, Émile"
50126,"Andrés López, Ángel de"
50109,"Andréi, Frédéric"
50925,"Angelis, Paul"
50896,"Angelini, Nando"
49701,"Andriole, David"
49643,"Andrieu, Sebastien"
52106,"Anka, Paul"
50017,"André, E.J."
50487,"Angarano, Michael"
51172,Angelov
50050,"André, Marcel"
51457,"Anglade, Jean-Hugues"
51028,"Angelo, Jean"
53449,"Anthony, Carl"
52755,"Ansara, Michael"
53859,"Anthony, Ray"
52283,"Annabelle, Ron"
55100,"Antonucci, Vittorio"
53564,"Anthony, Eugene J."
55000,"Antonov, Aleksandr"
54126,"Antin, Steve"
53860,"Anthony, Ray"
53728,"Anthony, Marc"
54305,"Antolek-Oresek, Vladimir"
52218,"Ankrum, Morris"
55106,"Antonutti, Omero"
52455,"Anniballi, Francesco"
54416,"Anton, Matthew"
52770,"Ansari, Aziz"
53581,"Anthony, Gerald"
52207,"Ankrom, Herbert W."
53956,"Anthony, Terrell"
54816,"Antonio, Lou"
52994,"Anson, A.E."
53442,"Anthony, Bryan"
52461,"Annichiarico, Vito"
56080,"Aoyama, Kazuya"
57320,"Apps, Edwin"
56457,"Apisa, Robert"
55946,"Aoki, Tomio"
57112,"Appleby, Noel"
55978,"Aono, Takeshi"
56876,"Appel, Peter"
55889,"Aoki, Hohi"
58071,"Arahanga, Julian"
57558,"Aquilino, Frank"
59470,"Arbuckle, Macklyn"
60497,"Arden, Michael"
60574,"Ardiles, Osvaldo"
58831,"Arashi, Tokusaburo"
58896,"Arau, Alfonso"
60089,"Archibald, Craig"
59475,"Arbuckle, Roscoe 'Fatty'"
60599,"Ardisson, Edmond"
59492,"Arbus, Allan"
60601,"Ardisson, George"
58535,"Aranda, Ángel"
59957,"Archer, John"
60422,"Ardan, Michel"
58368,"Aramondo, Pietro"
61266,"Arestrup, Niels"
62791,"Arkin, Adam"
61077,"Arend, Geoffrey"
62073,"Arias, Yancey"
62025,"Arias, Moises"
61568,"Argo, Victor"
62425,"Arishima, Ichirô"
60616,"Ardito, Gino"
61500,"Argenziano, Carmen"
62792,"Arkin, Alan"
61342,"Arey, Wayne"
61110,"Arendt, Ekkehard"
62797,"Arkin, Cüneyt"
62799,"Arkin, David"
61165,"Arens, Viktor"
61608,"Argue, David"
63321,"Armendáriz, Pedro"
62963,"Arliss, George"
64839,"Arnett, Will"
63965,"Armstrong, Hugh"
63861,"Armstrong, Curtis"
64780,"Arness, Andy"
62912,"Arlen, Richard"
62818,"Arkins, Robert"
63781,"Armstrong, Billy"
64237,"Armstrong, Robert"
64312,"Armstrong, Todd"
63562,"Armitage, Richard"
63316,"Armendáriz Jr., Pedro"
63741,"Armstrong, Alexander"
64361,"Armus, Sidney"
64709,"Arne, Peter"
63984,"Armstrong, Jack"
64781,"Arness, James"
64944,"Arno, Sig"
63446,"Armetta, Henry"
63743,"Armstrong, Alun"
64882,"Arngrim, Stefan"
64969,"Arnold, A."
64215,"Armstrong, R.G."
64934,"Arno, Frank"
64594,"Arnaz, Desi"
64122,"Armstrong, Louis"
64624,"Arndt, Denis"
62949,"Arling, Charles"
65139,"Arnold, Evan"
65718,"Arnt, Charles"
65528,"Arnold, Victor"
66302,"Arquillière, Alexandre"
65489,"Arnold, Sydney"
66152,"Arosenius, Per-Axel"
65670,"Arnoux, Robert"
65910,"Aronas, Raul"
66556,"Arreola, Juan José"
66204,"Arozamena, Eduardo"
66829,"Arriola, Armando"
65527,"Arnold, Victor"
65507,"Arnold, Tom"
65126,"Arnold, Edward"
65315,"Arnold, Mal"
66289,"Arquette, David"
66950,"Arrowsmith, Paris"
67722,"Arthur, George K."
67756,"Arthur, Johnny"
68982,"Asano, Tadanobu"
70099,"Ashford, Matthew"
70149,"Ashikawa, Makoto"
70313,"Ashley, Edward"
67502,"Artaud, Antonin"
69705,"Ashbrook, Dana"
67809,"Arthur, Robert"
70340,"Ashley, John"
67895,"Artigas, Josep Llorens"
68331,"Arvedi, Paolo"
69788,"Ashby, Linden"
67719,"Arthur, Gavin"
68870,"Asaka, Shinpachirô"
70665,"Ashton, John"
72328,"Astin, Skylar"
71832,"Assante, Armand"
71919,"Asselin, Philippe"
72327,"Astin, Sean"
71442,"Asner, Edward"
72291,"Asther, Nils"
71089,"Askew, Desmond"
71540,"Aspel, Michael"
71721,Asrani
72196,"Astaire, Fred"
70498,"Ashmore, Shawn"
71258,"Aslan, Grégoire"
72189,"Astafyev, Georgi"
72140,"Assunção, António"
72323,"Astin, John"
71122,"Askey, Arthur"
72524,"Astredo, Humbert Allen"
72375,"Aston, David"
74544,"Attenborough, Richard"
73595,"Atkin, Harvey"
75265,"Aubrey, James"
75401,"Auclair, Michel"
73848,"Atkins, Tom"
74066,"Atkinson, Rowan"
74433,"Attal, Yvan"
73620,"Atkine, Féodor"
73661,"Atkins, Christopher"
75125,"Auberjonois, Rene"
73381,"Atherton, William"
73128,"Aten, Larry"
74712,"Attles, Joseph"
74834,"Atwater, Barry"
74462,"Attanasio, Ugo"
74738,"Attougui, Faycal"
73178,"Ates, Roscoe"
75341,"Aubuchon, Jacques"
74887,"Atwill, Lionel"
74567,"Atterbury, Malcolm"
75757,"Auffay, Patrick"
77052,"Austin, Dave"
77525,"Auteuil, Daniel"
77369,"Austin, Steve"
77300,"Austin, Paul"
77413,"Austin, William"
76001,"August, Robert"
77514,"Autere, Emil"
77598,"Autran, Paulo"
76676,"Auriga, Eberhard"
76947,"Austin, Albert"
76602,"Aurel, Jean"
76934,"Austin, A."
77733,"Auzinger, Max"
75684,"Auer, Mischa"
77179,"Austin, Jerry"
77820,"Avalon, Frankie"
76945,"Austin, Alan"
76482,"Aumont, Jean-Pierre"
79738,"Axton, Hoyt"
78440,"Avery, Charles"
78369,"Averitt, Julius"
80646,"Ayoade, Richard"
78565,"Avery, Tol"
78363,"Averin, Yuri"
78807,"Avila, Omar"
80475,"Aykroyd, Dan"
78883,"Aviles, Rick"
80789,"Ayres, Lew"
79145,"Avram, Chris"
78568,"Avery, Val"
80805,"Ayres, Robert"
81166,"Azaria, Hank"
79517,"Axberg, Eddie"
80829,"Ayrton, Randle"
78600,"Avetisyan, Avet"
78413,"Avery II, Lloyd"
81095,"Azami, Yousuf"
80542,"Aylmer, Felix"
80625,"Aymé, Jean"
83850,"Baccaloni, Salvatore"
81613,"Azizi, Jamal"
81346,"Azevedo, Dionísio"
84187,"Bachchan, Amitabh"
83456,"Babochkin, Boris"
81208,"Azaïs, Paul"
84167,"Bachar, Dian"
82887,"Babatundé, Obba"
82628,"Baas, Balduin"
83669,Baby LeRoy
81724,"Aznavour, Charles"
84056,"Bach, John"
86597,"Bagdonas, Vladas"
86150,"Baer, Max"
84925,"Bacon, Irving"
